date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-04-05,39051,11.3129,46.4086,0,0,0,0,0,1
2020-04-05,32026,12.0767,46.0531,1,0,0,0,0,0
2020-04-05,32036,12.1076,46.1226,1,0,0,0,0,0
2020-04-05,38038,11.5095,46.2918,0,0,0,0,0,1
2020-04-05,36078,11.2822,45.64,22,1,0,0,0,4
2020-04-05,31017,11.8456,45.8283,1,0,0,0,0,0
2020-04-05,25045,10.1145,45.5613,1,0,0,0,0,0
2020-04-05,25030,10.0036,45.4958,4,0,0,0,0,0
2020-04-05,25020,10.1508,45.3548,2,0,0,0,0,0
2020-04-05,25126,10.2147,45.5356,1,0,0,0,0,0
2020-04-05,38100,11.1126,46.0788,1,0,0,0,0,0
2020-04-05,36066,11.5892,45.6608,3,0,0,0,0,0
2020-04-05,20151,9.158,45.4846,0,0,0,0,0,1
2020-04-05,36070,11.3139,45.596,9,0,0,0,0,0
2020-04-05,25125,10.2147,45.5356,1,0,0,0,0,0
2020-04-05,36100,11.4957,45.6584,2,0,0,0,0,0
2020-04-05,36073,11.3307,45.584,3,0,0,0,0,3
2020-04-05,25010,10.4788,45.4702,1,0,0,0,0,0
2020-04-05,90144,13.3356,38.1321,1,0,0,0,0,0
2020-04-05,10040,7.5372,45.0688,1,0,0,0,0,0
2020-04-05,36076,11.2222,45.7037,1,0,0,0,0,0
2020-04-05,36071,11.3417,45.5358,0,0,0,0,0,1
2020-04-05,36075,11.409,45.5126,1,0,0,0,0,0
2020-04-05,37030,11.1799,45.4914,1,0,0,0,0,0
